FID;Sítio;Tipo;Município;X;Y;CNSA;Referênci
96;SC-DUN-002;Oficina lítica;Garopaba;732335;6889180; ;Pestana & Ribeiro (2016)
97;SC-GRP-06 Sítio Ambrósio;Guarani;Garopaba;731626;6897960; ;Farias (2010)
98;SC-IMB-01;Guarani;Imbituba;723694;6880834;SC01511;Farias (2016)
99;SC-IMB-033 Estrondo;Guarani;Imbituba;723694;6880833; ;Farias (2016)
100;SC-IMB-034;Guarani;Imbituba;725776;6881590; ;GRUPEP (s/d)
101;SC-LGN-050 Barranceira;Guarani;Laguna;714751;6852908;SC01443;Farias & DeBlasis (2014)
102;SC-NB-01;Guarani;Imbituba;725512;6877650; ;Farias (2012a)
103;SC-NB-04;Sambaqui/Guarani;Imbituba;725554;6877772; ;Farias (2012a)
104;SC-NB-06 Fazenda Imbituba;Guarani;Imbituba;724460;6880540;SC01487;Farias (2012b)
105;Siqueiro;Sambaqui;Imaruí;0;0;SC00430;"Piazza (1966); Farias & Kneip (2010)"
106;Sítio Guarani 02;Guarani;Imbituba;725625;6877841; ;Farias (2012a)
107;Sítio Guarani 03;Guarani;Imbituba;725660;6878520; ;Farias (2012a)
108;Tamborete I / IMI 015 / Imaruí VI;Sambaqui;Imaruí;0;0;SC00443;"Rohr (1969; 1984); Farias & Kneip (2010)"
109;Tamborete II / IMI 016 / Imaruí VII;Sambaqui;Imaruí;0;0;SC00444;Farias & Kneip (2010)
